feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g1762	country	Malawi	0.00064559832892039	7.77126040616214e-05	341	23	2.37482630426404e-15	4.83277152917732e-12
g1097	country	Malawi	-0.00247367316942248	0.000306505911881283	341	341	1.22829474939928e-14	8.33193271675843e-12
g1439	country	Malawi	0.00377809567756469	0.00046766259025508	341	311	1.16160947728027e-14	8.33193271675843e-12
g978	country	Malawi	-0.00220705082466916	0.000284609179540089	341	341	1.04631454141194e-13	5.32312522943325e-11
g1798	country	Malawi	-0.00325744891027325	0.000434492874315241	341	341	5.75113471589325e-13	1.67517925969638e-10
g1196	country	Malawi	-0.00262774643566451	0.000350530934252582	341	341	5.77576435284768e-13	1.67517925969638e-10
g2118	country	Malawi	0.00374682018619238	0.0005011531196084	341	338	6.5854712911897e-13	1.67517925969638e-10
g681	country	Malawi	0.0018104483069819	0.000240083266269288	341	153	4.3163071362471e-13	1.67517925969638e-10
g611	country	Malawi	-0.00614834555618422	0.000860011198556595	341	314	5.39970331157035e-12	1.22093291544952e-09
g843	country	Malawi	0.00253025977981689	0.000355933786597491	341	298	6.96731916140932e-12	1.4178494493468e-09
g688	country	Malawi	-0.00207806044713143	0.000305247005017617	341	341	4.51519723798809e-11	6.56316169950411e-09
g2120	country	Malawi	-0.00333960068348665	0.000488258657779782	341	340	3.71136814014905e-11	6.56316169950411e-09
g66	country	Malawi	-0.00373522908946894	0.000548220817893637	341	338	4.3641096400624e-11	6.56316169950411e-09
g988	country	Malawi	-0.00244004205325001	0.00035780392761506	341	341	4.2034985215723e-11	6.56316169950411e-09
g2093	country	Malawi	-0.00263706997335073	0.000388280567847792	341	341	4.98290236331515e-11	6.76013753956422e-09
g2109	country	Malawi	-0.00164537629982683	0.000245559765673963	341	341	8.6668452526421e-11	1.05576740917597e-08
g671	country	Malawi	-0.0030566777358025	0.000456382724350056	341	341	8.81967860245278e-11	1.05576740917597e-08
g690	country	Malawi	0.00240292865058501	0.000359471220047956	341	104	9.5396205932722e-11	1.07850710596161e-08
g761	country	Malawi	-0.0031496615650502	0.000472059299550895	341	341	1.02829362177656e-10	1.10135658963963e-08
g1096	country	Malawi	-0.00210493510846603	0.000316205205551486	341	341	1.12755200762839e-10	1.14728416776189e-08
g1976	country	Malawi	-0.00259846673306604	0.000391422476166076	341	341	1.25891306618873e-10	1.17499316388077e-08
g1763	country	Malawi	-0.00238927675158343	0.000360394435142722	341	341	1.32800210168343e-10	1.17499316388077e-08
g1333	country	Malawi	-0.00201743091344513	0.000304068443243047	341	341	1.28740799907136e-10	1.17499316388077e-08
g1721	country	Malawi	-0.0020867868553071	0.000315286914118229	341	341	1.41784835349005e-10	1.20221724973011e-08
g2000	country	Malawi	-0.00338345074864469	0.000511798812846545	341	334	1.48554801030002e-10	1.20923608038422e-08
g129	country	Malawi	-0.00349325597427726	0.00052980679162278	341	341	1.6488584301972e-10	1.29054880978896e-08
g1975	country	Malawi	-0.0020855007625468	0.000320289978952777	341	341	2.68729091579658e-10	2.0254211161652e-08
g732	country	Malawi	-0.00193014766621115	0.000297615305803783	341	341	3.13190665531182e-10	2.27622501555698e-08
g2363	country	Malawi	-0.00259197290015324	0.000404374023962234	341	341	4.88128126749767e-10	3.42531288943371e-08
g2337	country	Malawi	-0.00202703536896692	0.00031670176704399	341	341	5.15659354127009e-10	3.49788928549488e-08
g305	country	Malawi	-0.00170333708029539	0.000268260492188325	341	341	6.93620838920972e-10	4.55328518452961e-08
g1123	country	Malawi	0.00150981731620425	0.00023924101434373	341	267	8.68012719370287e-10	5.52001838724542e-08
g433	country	Malawi	-0.00244012151331551	0.000388532529572552	341	341	1.03514888629168e-09	6.38341813213201e-08
g321	country	Malawi	-0.00342083320580966	0.000545731973863273	341	328	1.10927935497887e-09	6.63936319818238e-08
g619	country	Malawi	-0.00142347058963196	0.00022915831259862	341	341	1.53458315210585e-09	8.92250489867261e-08
g10	country	Malawi	0.00137133717555645	0.000221343435845452	341	241	1.68342794625064e-09	9.51604408505569e-08
g2068	country	Malawi	-0.00231294451303055	0.000374924343188668	341	341	1.95671575083955e-09	1.04876096322148e-07
g1161	country	Malawi	-0.00275284561042221	0.000446242338559556	341	341	1.95837428021701e-09	1.04876096322148e-07
g842	country	Malawi	0.000770163987210361	0.000125665868410523	341	44	2.46093265390395e-09	1.28410203863962e-07
g2323	country	Malawi	-0.00195424522366952	0.000320128547283183	341	341	2.81979968009789e-09	1.4345730872498e-07
g847	country	Malawi	-0.00317098876048164	0.000520591080673269	341	341	3.04152597103445e-09	1.50963545147686e-07
g1584	country	Malawi	0.00064249461633948	0.000105726956451627	341	9	3.29460629905997e-09	1.59631519490168e-07
g325	country	Malawi	-0.00135170203287577	0.000223187293359184	341	341	3.69776800450228e-09	1.74999020678189e-07
g1902	country	Malawi	-0.00190206936178104	0.000316979242487263	341	341	5.04882453018776e-09	2.28319064865157e-07
g1870	country	Malawi	-0.00376398408673303	0.000626918599955792	341	339	4.95601350243631e-09	2.28319064865157e-07
g2272	country	Malawi	0.00092965501464186	0.000155352960609233	341	58	5.53292221729136e-09	2.44771667656259e-07
g1140	country	Malawi	-0.00253002516623369	0.000423932104862089	341	341	6.05176442622403e-09	2.46306812147318e-07
g2194	country	Malawi	-0.00177024062054894	0.000296181940096685	341	341	5.76112112689304e-09	2.46306812147318e-07
g2156	country	Malawi	-0.00171983412020204	0.000287856080484173	341	341	5.83308521286581e-09	2.46306812147318e-07
g2119	country	Malawi	0.00280104365869601	0.000469226863110656	341	340	6.00194664526858e-09	2.46306812147318e-07
g403	country	Malawi	0.00136044372067533	0.000228463904502866	341	84	6.51277276384265e-09	2.59872403419996e-07
g694	country	Malawi	0.000228256924228726	3.84391320838601e-05	341	13	7.13890142888467e-09	2.79378161688083e-07
g1463	country	Malawi	0.00348241964767407	0.000588956349358549	341	341	8.20641293895411e-09	3.15095289259842e-07
g1743	country	Malawi	-0.00370482677409397	0.000627682328119167	341	341	8.69315097443509e-09	3.27603004314359e-07
g1416	country	Malawi	0.00500997826173562	0.00085335572179347	341	318	1.03318055009913e-08	3.82276803536679e-07
g2069	country	Malawi	0.00152394941014123	0.000259852286681242	341	79	1.06906448824929e-08	3.86724141288618e-07
g880	country	Malawi	0.00145050098997561	0.000247429793874542	341	85	1.08320766847426e-08	3.86724141288618e-07
