"","feature_id","mean","sd","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","lr_unadjusted_p","lr_adjusted_p","wilcox_p","fisher_padj","lr_unadjusted_padj","lr_adjusted_padj","wilcox_padj","mean_diff","prev_diff","enriched_responder_mean","enriched_responder_prev","rf_rank","rf_top20","rf_n","crossval_median","crossval_quartile_1","crossval_quartile_3","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"1","t102684",0.0668042601601177,0.12737831151374,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantarius","Streptococcus infantarius",172,207,83.1,0.213950724637681,0.864960420435164,57,74,77,0.356156756756757,2.53818941897518,0.295140658462189,0.250646713110885,0.336077543737465,0.251292753168771,1,0.954107282831941,0.955672831420602,0.995484644606265,0.142206032119076,-6.09999999999999,TRUE,FALSE,52,0,50,0.5,0.4375,0.55,-0.00236495343518315,0.00652521844647775,0.71730299078823,"dose1_shedding1",0.899056748375613,281,229,-0.00135449746848111,0.00619304492323742,0.827036687160017,0.97223473176999,0.899056748375613,0.965187128740686,"India","IND","Species"
"2","t108981",0.017061405349572,0.0466454116325178,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri","Acinetobacter schindleri",51,207,24.6,0.00106811594202899,0.00805043252930067,9,74,12.2,0.000193243243243243,0.0012957603238001,0.0308593573536799,0.027812245900465,0.0280496401678495,0.0264622394156246,0.784224097794966,0.715097795249504,0.719314625784517,0.995484644606265,-0.000874872698785742,-12.4,FALSE,FALSE,195,0,50,0.5,0.4375,0.55,-0.000537795787952518,0.000379079883738742,0.157106321330825,"dose1_shedding1",0.829988243422151,281,60,-0.000559706890480145,0.000383181727775583,0.145248278133445,0.728894431978398,0.829988243422151,0.875138684494212,"India","IND","Species"
"3","t111015",0.00869580135394236,0.0200180017401745,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces radicidentis","Actinomyces radicidentis",34,207,16.4,0.0327782608695652,0.324558509932764,9,74,12.2,0.000164864864864865,0.00107505112110782,0.45464016584227,0.383753411737631,0.400633212889485,0.342826005942596,1,0.954107282831941,0.964622760659392,0.995484644606265,-0.0326133960047003,-4.2,FALSE,FALSE,232,0,50,0.5,0.4375,0.55,-0.0021415571701329,0.00210595631282789,0.310079713846357,"dose1_shedding1",0.829988243422151,281,43,-0.00232575050926579,0.00210319003805165,0.269774240148099,0.774682448363025,0.829988243422151,0.875138684494212,"India","IND","Species"
"4","t113107",0.063762350987299,0.11910965891863,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus australis","Streptococcus australis",203,207,98.1,0.0163014492753623,0.0185876916114617,74,74,100,0.0226094594594595,0.0387570344261791,NA,NA,NA,0.880099269417399,NA,NA,NA,0.995484644606265,0.00630801018409714,1.90000000000001,TRUE,TRUE,59,0,50,0.5,0.4375,0.55,0.000929039990062323,0.000991722153189006,0.34967438929507,"dose1_shedding1",0.829988243422151,281,277,0.000915728557370407,0.00100442135251436,0.362729322269989,0.814152241926569,0.829988243422151,0.88076937941032,"India","IND","Species"
"5","t1134687",0.0661512318566528,0.130070725162047,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis","Klebsiella michiganensis",143,207,69.1,0.0272908212560386,0.200922490641139,53,74,71.6,0.0186067567567568,0.0494741092690654,0.768641064195972,0.68322907101489,0.663545129040984,0.312490442867238,1,0.992107617794646,0.964622760659392,0.995484644606265,-0.00868406449928189,2.5,FALSE,TRUE,56,0,50,0.5,0.4375,0.55,0.000641294190857348,0.00189310654149857,0.735051142570569,"dose1_shedding1",0.899056748375613,281,196,0.00062281767442879,0.00189513535414776,0.742678682132606,0.949826754606221,0.899056748375613,0.932137529615413,"India","IND","Species"
"6","t1156431",0.0675896501522776,0.126204594835864,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-G2","Streptococcus sp. I-G2",196,207,94.7,0.00886328502415459,0.0104233403526742,69,74,93.2,0.0117324324324324,0.0164940014675997,0.77016170273132,0.646510337520177,0.767853759764524,0.587408001432888,1,0.992107617794646,0.964622760659392,0.995484644606265,0.00286914740827784,-1.5,TRUE,FALSE,50,0,50,0.5,0.4375,0.55,0.00082083183423204,0.000736012596709429,0.265706608082986,"dose1_shedding1",0.829988243422151,281,265,0.000791455768014628,0.000745555859101057,0.289368132322814,0.777105900122651,0.829988243422151,0.875138684494212,"India","IND","Species"
"7","t1156433",0.0588353342442177,0.107885076142561,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-P16","Streptococcus sp. I-P16",193,207,93.2,0.0064280193236715,0.00775068975568918,67,74,90.5,0.0095472972972973,0.0177395867426729,0.446671365927511,0.451086811582298,0.535397319384679,0.970741325987165,1,0.954107282831941,0.964622760659392,0.995484644606265,0.0031192779736258,-2.7,TRUE,FALSE,67,0,50,0.5,0.4375,0.55,0.000723383786016494,0.00067282983709832,0.28324258907509,"dose1_shedding1",0.829988243422151,281,260,0.000695175616197026,0.000682151846239579,0.309058172086332,0.791961565971225,0.829988243422151,0.88076937941032,"India","IND","Species"
"8","t116085",0.0255793526028703,0.0529790326491898,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus catus","Coprococcus catus",78,207,37.7,0.00434154589371981,0.0171075840085127,26,74,35.1,0.013627027027027,0.0587943928397642,0.779460011947969,0.697102444989178,0.677720091834882,0.972365790664094,1,0.992107617794646,0.964622760659392,0.995484644606265,0.00928548113330722,-2.6,TRUE,FALSE,153,0,50,0.5,0.4375,0.55,0.00157518672800526,0.00102822524446253,0.126668557525813,"dose1_shedding1",0.829988243422151,281,104,0.00145400024248305,0.0010381511589945,0.162475015104629,0.738091979398899,0.829988243422151,0.875138684494212,"India","IND","Species"
"9","t1177574",0.0529681002632968,0.124245877703581,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella jejuni","Prevotella jejuni",73,207,35.3,0.000881159420289855,0.00525814048572931,19,74,25.7,0.00384054054054054,0.0255432800530432,0.150046063099912,0.133099142419581,0.099676103317836,0.0808336035349789,1,0.913164667070003,0.931372614454055,0.995484644606265,0.00295938112025068,-9.6,TRUE,FALSE,77,0,50,0.5,0.4375,0.55,0.000297115454336698,0.000526501075934249,0.572989274643678,"dose1_shedding1",0.886125426925864,281,92,0.00016462202572015,0.000528097760714924,0.75548550806755,0.949826754606221,0.886125426925864,0.93446035811277,"India","IND","Species"
"10","t1260",0.0754190893280732,0.150740812247419,"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia","Finegoldia magna","Finegoldia magna",161,207,77.8,0.00351207729468599,0.00754695328701103,55,74,74.3,0.00896621621621622,0.0330828858501157,0.630063886352053,0.545734310707476,0.577047177029788,0.937827967733808,1,0.97258811052158,0.964622760659392,0.995484644606265,0.00545413892153023,-3.5,TRUE,FALSE,31,0,50,0.5,0.4375,0.55,0.00113424710447169,0.000743261019431755,0.128132337811743,"dose1_shedding1",0.829988243422151,281,216,0.00120683863793617,0.000749426878395869,0.108473134103406,0.661596470812512,0.829988243422151,0.875138684494212,"India","IND","Species"
"11","t1270",0.0186922695143915,0.0390297783831533,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus luteus","Micrococcus luteus",57,207,27.5,0.000156521739130435,0.000492510389482716,17,74,23,0.000101351351351351,0.000268681837227013,0.538874426462743,0.444944379837324,0.357807746050984,0.409841850261279,1,0.954107282831941,0.955672831420602,0.995484644606265,-5.51703877790834e-05,-4.5,FALSE,FALSE,186,0,50,0.5,0.4375,0.55,-0.00013284085504344,0.000143880199064934,0.356662174424597,"dose1_shedding1",0.829988243422151,281,74,-0.000148865961229801,0.000145323103673553,0.306559738482102,0.78925140097198,0.829988243422151,0.88076937941032,"India","IND","Species"
"12","t1280",0.0646974133660782,0.118626316642746,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","Staphylococcus aureus",191,207,92.3,0.0744666666666667,0.249804190501747,66,74,89.2,0.0408689189189189,0.093432228644618,0.467839929083223,0.417744836807095,0.409599405217262,0.76599997911309,1,0.954107282831941,0.964622760659392,0.995484644606265,-0.0335977477477477,-3.09999999999999,FALSE,FALSE,57,0,50,0.5,0.4375,0.55,-0.00258361778608397,0.00274613379309093,0.347610929782839,"dose1_shedding1",0.829988243422151,281,257,-0.00231002044601815,0.00276568058068604,0.404307564941802,0.833994481066436,0.829988243422151,0.900363411241392,"India","IND","Species"
"13","t1282",0.110590335386861,0.21125124452339,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis","Staphylococcus epidermidis",206,207,99.5,0.157710628019324,0.728772260485735,73,74,98.6,0.0506445945945946,0.137824797599688,NA,NA,NA,0.131444646129275,NA,NA,NA,0.995484644606265,-0.107066033424729,-0.900000000000006,FALSE,FALSE,2,1,50,0.5,0.4375,0.55,-0.00601831501184251,0.00416164202812756,0.149260493891428,"dose1_shedding1",0.829988243422151,281,279,-0.00610072600449915,0.00419355727386947,0.146873292411168,0.728894431978398,0.829988243422151,0.875138684494212,"India","IND","Species"
