feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t1270	country	Malawi	0.00583889906434249	0.000422724907476055	341	122	9.77001609375252e-35	2.43273400734438e-32
t43765	country	Malawi	0.00450146352937475	0.00049338511553553	341	101	6.61478095201249e-18	8.23540228525555e-16
t40214	country	Malawi	0.00525779240960171	0.000631835240575857	341	88	2.1538036689307e-15	1.78765704521248e-13
t28090	country	Malawi	0.00572313236314833	0.000742635838410055	341	67	1.44322856125288e-13	8.98409779379920e-12
t357276	country	Malawi	0.0596962308513675	0.007979648577127	341	163	6.38800750486243e-13	3.18122773742149e-11
t202956	country	Malawi	0.0172072915648136	0.00240144430027501	341	61	4.87165983932994e-12	2.02173883332192e-10
t2079596	country	Malawi	0.00940879791956247	0.00132765567979777	341	40	8.00348989849924e-12	2.84695569246616e-10
t34062	country	Malawi	0.00671328138938532	0.00098606203242992	341	153	4.50489048292414e-11	1.40214716281014e-09
t70346	country	Malawi	0.00678514432536123	0.00101418262029369	341	62	9.22050808894024e-11	2.55100723794013e-09
t1636603	country	Malawi	0.00471897053182532	0.000708481524253926	341	39	1.10194881133537e-10	2.74385254022508e-09
t2545797	country	Malawi	0.00412241619273609	0.000632660906678599	341	30	2.61345419893176e-10	5.91590995940007e-09
t2093856	country	Malawi	0.00735355882288888	0.00114959522925455	341	99	5.27247868530807e-10	1.09403932720142e-08
t28131	country	Malawi	0.0054295130205462	0.000872914186439789	341	149	1.46388205693489e-09	2.80389717059067e-08
t40545	country	Malawi	0.0232728238535115	0.00380030559353251	341	80	2.52764502038428e-09	4.49559721482633e-08
t756892	country	Malawi	0.00846582556860549	0.00148568211648929	341	136	2.63047378767028e-08	4.36658648753266e-07
t1318	country	Malawi	0.0185265658452992	0.00336257451314154	341	336	7.12485142150423e-08	1.1088050024716e-06
t71999	country	Malawi	0.00216550154983944	0.000395793795228776	341	125	8.69691535609461e-08	1.27384230803974e-06
t2610896	country	Malawi	0.0182283767144384	0.00341889399528584	341	333	1.78084826365763e-07	2.46350676472639e-06
t1316408	country	Malawi	0.0171862840259455	0.00329059326651907	341	333	3.08170907662902e-07	4.03866084252961e-06
t820	country	Malawi	0.0324621781105342	0.00634576770201283	341	163	5.24608441925401e-07	6.53137510197124e-06
t818	country	Malawi	0.0609755213867915	0.0119584902323999	341	184	5.69261921224534e-07	6.7498199230909e-06
t1759399	country	Malawi	0.00437917282623179	0.0008641890445837	341	322	6.64299437617663e-07	7.51866181667264e-06
t1177574	country	Malawi	0.00381354031306366	0.000761589678890737	341	132	8.89261749338101e-07	9.62722502544292e-06
t1283	country	Malawi	0.00500616095223821	0.0010055572767581	341	260	1.02203933984685e-06	1.06036581509111e-05
t821	country	Malawi	0.0629309820286543	0.0127991623802228	341	181	1.37332791295133e-06	1.31522557817262e-05
t108981	country	Malawi	0.00616824100740341	0.00125339056388928	341	96	1.34456967316599e-06	1.31522557817262e-05
t328812	country	Malawi	0.00532949538475833	0.00109839047016664	341	83	1.86633123063518e-06	1.72117213491911e-05
t47678	country	Malawi	0.042776754740064	0.00918706212683462	341	141	4.63064577030772e-06	4.11796713145222e-05
t2785531	country	Malawi	0.00918482281852848	0.00199556643855653	341	95	5.90615017513925e-06	5.07114273658508e-05
t2690380	country	Malawi	0.0392735442246794	0.00861804505288416	341	129	7.24818591776502e-06	6.01599431174497e-05
t1685	country	Malawi	-0.166041414928729	0.0370345683987778	341	340	1.00652488818327e-05	8.08466765024628e-05
t1156433	country	Malawi	0.00457501863931657	0.00102550264501172	341	313	1.11006515198423e-05	8.63769446387728e-05
t1871022	country	Malawi	0.00732625955597486	0.00164945297917094	341	131	1.21011568663035e-05	9.13087290821083e-05
t470	country	Malawi	0.00736168122595367	0.00168355478880449	341	162	1.63481360387987e-05	0.000119726055107673
t2528203	country	Malawi	0.00538834344472727	0.00123725277855474	341	81	1.76435623240335e-05	0.000125521343390981
t823	country	Malawi	0.0607374805152085	0.0146276728555769	341	160	4.17035885408069e-05	0.000288449820740581
t371601	country	Malawi	0.0328842416197851	0.00802414456602285	341	163	5.21560964363981e-05	0.000350996432774679
t712633	country	Malawi	0.00514351913327026	0.00129329341622548	341	325	8.53249211317205e-05	0.000559102772678906
t28132	country	Malawi	0.00590439183942212	0.00149219971128965	341	178	9.25307405433369e-05	0.000590773189622843
t165179	country	Malawi	0.0456092393571317	0.0115867292075762	341	202	0.000100419383458905	0.000625110662031681
t2382163	country	Malawi	0.00403587729777633	0.00103134023319033	341	311	0.000110069509902393	0.000656688283211669
t97478	country	Malawi	0.00391885672525401	0.00100184442199781	341	90	0.000110766698373053	0.000656688283211669
t2755405	country	Malawi	0.00453643523345201	0.00116841456861684	341	84	0.000124250921095545	0.000719499519832341
t28116	country	Malawi	0.0344723060908554	0.00889640953376849	341	139	0.000128072803789866	0.000724775639629015
t28129	country	Malawi	0.0021735736889765	0.000566454987292443	341	87	0.000148448447854714	0.000821414744796082
t2650158	country	Malawi	0.00452412554610515	0.00118413589782781	341	102	0.000158321187199609	0.000856999469841364
t1796613	country	Malawi	0.00365207042609096	0.000967553616102904	341	101	0.000189200580270574	0.00100236052100793
t28118	country	Malawi	0.00789633467266674	0.00210419339302984	341	111	0.000205776484987744	0.00106746551587392
t113107	country	Malawi	0.00511594307408346	0.00137952342760111	341	336	0.000243519773984307	0.00123747803514475
t901	country	Malawi	0.00333974505984871	0.000914131871223165	341	26	0.000299668267172409	0.00149234797051859
t2026240	country	Malawi	0.00512159359895924	0.00141159793548988	341	138	0.000329307263380842	0.00160779428591823
t562	country	Malawi	0.140475485396129	0.039220703950663	341	337	0.000391345833478508	0.00187394447184901
t626932	country	Malawi	0.00436670545444389	0.00122501578470419	341	59	0.000416699735583207	0.00195770253132488
t39778	country	Malawi	0.0180342576858181	0.00510466763208875	341	298	0.000467994223609028	0.00208090288711871
t2823317	country	Malawi	0.00370746002877211	0.00104824849590976	341	134	0.000461350778975604	0.00208090288711871
t1499973	country	Malawi	0.00318705437148211	0.000900000968646441	341	260	0.000454073277964934	0.00208090288711871
t2650157	country	Malawi	0.0042667483893723	0.0012165081013046	341	104	0.000513506465414556	0.00224321245417938
t2763022	country	Malawi	0.0074202352732372	0.00221301800633257	341	99	0.000889791065746821	0.00381996509260273
t287	country	Malawi	0.00260296232375028	0.000779176396194981	341	191	0.000928940801434069	0.0039204450772387
