"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.16665142528068,0.340552578921732,"Acinetobacter","India",63,282,22.3,0,0.3,"UK",1,55,1.8,0,0,0.000100915761029869,0.000619911103469197,20.5,TRUE,16,1,"1",-0.929472534434471,-0.707651984887654,-1.89755111721242,-1.57882663140572,5.63025138432421,-0.25505238537787,0.378125000871464,0.00308741513368654,0.0131288563737012,0.0189025899134867,0.053607792916782,0.047,0,0.047,0.9,0.85,0.95
"2","Actinomyces",0.101334074111641,0.185743825931429,"Actinomyces","India",134,282,47.5,0.1,0.3,"UK",30,55,54.5,0.1,0.3,0.377807915571497,0.484947473718638,-7,FALSE,20,1,"ns",2.24189766050051,1.88288983279108,3.06346577255152,0.709789759840138,7.15890127368135,0.0868503956954698,0.46180062508077,0.546362365170932,0.675448987809208,0.631951540966286,0.757455311676338,0.095,0.07,0.025,0.9,0.85,0.95
"3","Akkermansia",0.00560033292531655,0.0121468417003462,"Akkermansia","India",11,282,3.9,0.4,2.8,"UK",4,55,7.3,1.1,5.5,0.281019680920615,0.383614167605919,-3.4,FALSE,84,0,"ns",-1.60379650243532,-1.61912377778851,-1.50751803217119,0.161393436602967,5.13360267517548,0.0254436068287863,0.483238636476494,0.511923627263145,0.645056164072839,0.535425215871189,0.668893900540194,0.396,1.166,-0.77,0.9,0.85,0.95
"4","Alistipes",0.0181280547082398,0.036013169336897,"Alistipes","India",8,282,2.8,0,0.6,"UK",7,55,12.7,0.2,1.1,0.00477405906657222,0.0146631814187575,-9.9,FALSE,64,0,"3",-1.63077759742244,-1.64565517909683,-1.52185030405085,0.315342173781136,5.54358911008499,0.0496310242886455,0.471306818375436,0.240234309840426,0.377712050463423,0.459083918896147,0.593420965959385,0.041,0.221,-0.18,0.9,0.85,0.95
"5","Anaerococcus",0.0409448077852664,0.079375052472149,"Anaerococcus","India",60,282,21.3,0,0,"UK",9,55,16.4,0,0,0.469386848065218,0.553064851686946,4.9,TRUE,43,0,"ns",-0.370179758807845,-0.25317894355063,-0.961176564594574,-0.689826298112486,5.33743661418612,-0.119095815991659,0.44476001173631,0.335726447669343,0.466038906652682,0.302309715503059,0.44200986021184,0.004,0.001,0.003,0.9,0.85,0.95
"6","Anaerostipes",0.00709519481390042,0.015777698917703,"Anaerostipes","India",6,282,2.1,0,0,"UK",4,55,7.3,0,0.1,0.0624143652553069,0.119280786932364,-5.2,FALSE,76,0,"ns",-1.70914694381911,-1.71101097891628,-1.70549566210924,0.173023191424983,4.96699224142731,0.03043887784434,0.482817381541366,0.502443205950158,0.62496741922327,0.510598926141362,0.642996104024645,0.002,0.011,-0.009,0.9,0.85,0.95
"7","Anaerotruncus",0.00284649615376959,0.00692138916202578,"Anaerotruncus","India",0,282,0,0,0,"UK",3,55,5.5,0.1,0.4,0.00414971560172854,0.0132176126573576,-5.5,FALSE,86,0,"3",-1.79747814987792,-1.78982412740983,-1.82495384664468,0.137568830721551,4.61390078920533,0.0242088328303083,0.487645555323084,0.502106177809728,0.62799135528922,0.544731881316847,0.674790385018421,0,0.054,-0.054,0.9,0.85,0.95
"8","Atopobium",0.0936397389306022,0.172430291605068,"Atopobium","India",117,282,41.5,0.1,0.4,"UK",22,55,40,0,0.2,0.8818366823742,0.913710297399774,1.5,TRUE,25,0,"ns",0.938476832685752,0.863877139297903,1.16460262696892,-0.00619359830288424,7.3272330952015,-0.000656585744807055,0.49943181818564,0.704119906603593,0.802354715231211,0.739690825871967,0.836354201031973,0.088,0.04,0.048,0.9,0.85,0.95
"9","Bacteroides",0.317467286334157,0.563850350300971,"Bacteroides","India",114,282,40.4,3.3,9.6,"UK",36,55,65.5,18.6,22.3,0.000973112198129558,0.00440461310732326,-25.1,FALSE,9,1,"3",1.25128707356367,0.662276643309608,12.7406994493492,4.6608674307108,13.3337250577285,0.402397284312891,0.30815109495157,0.000186817396008487,0.00164261316777705,1.68946857994368e-05,0.000183726980338887,3.324,18.868,-15.544,0.9,0.85,0.95
"10","Barnesiella",0.00618387833826898,0.0135820070658611,"Barnesiella","India",2,282,0.7,0,0.1,"UK",4,55,7.3,0.2,0.8,0.00746524874480146,0.0207100449049331,-6.6,FALSE,81,0,"3",-1.7423094050772,-1.75021553048443,-1.71447425945747,0.0884864586843879,4.9003219934804,0.0156702158418743,0.490625000063075,0.410880112704057,0.536568425662946,0.515057950758078,0.644646815725774,0.007,0.155,-0.148,0.9,0.85,0.95
"11","Bifidobacterium",1.31133257483616,2.26613316957528,"Bifidobacterium","India",280,282,99.3,43.6,21.2,"UK",51,55,92.7,13.2,14.9,0.00746524874480146,0.0207100449049331,6.59999999999999,TRUE,1,1,"1",15.6395461491059,15.8356732710971,13.6211748538483,-2.1790988844534,3.29439107761383,-0.519390733828924,0.218750002767119,3.84694064977007e-05,0.000463714177834799,1.45512936136121e-10,3.83604446174379e-09,43.684,13.251,30.433,0.9,0.85,0.95
"12","Bilophila",0.02475843982324,0.0494607852491835,"Bilophila","India",13,282,4.6,0,0.1,"UK",10,55,18.2,0.2,0.8,0.00127323245661714,0.00547489956345371,-13.6,FALSE,56,0,"3",-1.58555917551292,-1.62869643452267,-1.34705300858993,0.642828524844251,6.02248949353415,0.0938941366027949,0.449020165072207,0.175764689938416,0.286780968048384,0.324692556382739,0.460228890527013,0.01,0.185,-0.175,0.9,0.85,0.95
"13","Blautia",0.0155043231298277,0.0313943724895201,"Blautia","India",22,282,7.8,0.1,2,"UK",6,55,10.9,0.1,0.3,0.427510629306716,0.525227344576822,-3.1,FALSE,66,0,"ns",-1.41497313341504,-1.44254750883079,-1.26571613572981,0.241228176647835,5.80635130232811,0.0349770191410368,0.477840909240237,0.502994501654324,0.631030165752839,0.515649726330481,0.651427352774195,0.145,0.077,0.068,0.9,0.85,0.95
"14","Campylobacter",0.048196372690506,0.0893494307378195,"Campylobacter","India",24,282,8.5,0.1,0.5,"UK",12,55,21.8,0,0,0.00720549687807246,0.0207100449049331,-13.3,FALSE,39,0,"3",-1.34003551017345,-1.4148122458664,-0.899314271477634,0.763262224364608,5.78944493747576,0.123317439267939,0.432670455006651,0.221760919083816,0.335116437788464,0.233116929925139,0.361382744848408,0.057,0.011,0.046,0.9,0.85,0.95
"15","Caproiciproducens",0.00947426317960184,0.0196473535715147,"Caproiciproducens","India",4,282,1.4,0,0.1,"UK",3,55,5.5,0.1,0.5,0.0888606346606796,0.155959481241193,-4.1,FALSE,73,0,"ns",-1.77031651939314,-1.75128338628134,-1.85840918680814,0.000493331713062872,4.85977973689848,7.76332767747025e-05,0.49985799488877,0.522679787480862,0.643773560977517,0.502299551662766,0.638596650577287,0.007,0.132,-0.125,0.9,0.85,0.95
"16","Citrobacter",0.0984999565532295,0.185746034299119,"Citrobacter","India",49,282,17.4,0,0.1,"UK",17,55,30.9,1.5,4.7,0.026032543588253,0.0621888541274933,-13.5,FALSE,21,0,"ns",-0.8757229731442,-0.957710522961293,-0.351539909058872,1.06274363213674,8.20066686418076,0.118898443445925,0.431818182285437,0.060383218550731,0.143758212979092,0.180695208182076,0.311349991065507,0.039,1.485,-1.446,0.9,0.85,0.95
"17","Clostridioides",0.0439932436570212,0.0901545091508024,"Clostridioides","India",46,282,16.3,0.1,0.6,"UK",2,55,3.6,0,0,0.0108166965910074,0.0281889668735343,12.7,TRUE,42,0,"1",-1.19147863825252,-1.03766526347492,-1.89052494579224,-1.07070745544699,5.87370345156561,-0.159603048289994,0.409542744167379,0.0116938525321663,0.0385979460733223,0.0822706248033536,0.167012290626335,0.129,0.002,0.127,0.9,0.85,0.95
"18","Clostridium_sensu_stricto_1",0.118019880233739,0.217690454298734,"Clostridium_sensu_stricto_1","India",82,282,29.1,0.1,0.9,"UK",23,55,41.8,1.5,5.6,0.0793010754062806,0.144301152621652,-12.7,FALSE,18,1,"ns",-0.0870744126283416,-0.160358682394301,0.528222844233084,1.61560094400828,9.12365023758026,0.165449704215655,0.425447316615904,0.0615833867326038,0.150243866855684,0.112771939326496,0.238988505158053,0.14,1.495,-1.355,0.9,0.85,0.95
"19","Collinsella",0.0576737023312729,0.112562360128387,"Collinsella","India",81,282,28.7,2.1,6.7,"UK",12,55,21.8,1.4,7.4,0.326837495169967,0.433658364007808,6.9,TRUE,34,0,"ns",-0.300031162972164,-0.130938332020254,-1.1029385906942,-1.0221500484615,10.6472897836322,-0.0980035301850639,0.43920454586957,0.28483630153594,0.447058249237318,0.17871569796735,0.316534336075199,2.107,1.381,0.726,0.9,0.85,0.95
"20","Corynebacterium_1",0.562328824593186,0.965862975355564,"Corynebacterium_1","India",183,282,64.9,0,0,"UK",6,55,10.9,0,0,5.21235206808652e-14,4.4826227785544e-12,54,TRUE,4,1,"1",3.12849047017969,3.67559858621066,-1.05228410591695,-4.31328774041939,5.27354535493446,-0.743892661987261,0.203693184889736,6.81425690382923e-09,2.69809372971366e-07,9.2804195081514e-11,2.6214069340274e-09,0.02,0.001,0.019,0.9,0.85,0.95
